Experiment ID                :  scheduler-gen
Problem Type                 :  SCHED
Representation               :  gen
Data Input File Name         :  ../testdata1
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  2
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75800
Number of Genes/Points       :  35
Size of Genes                :  1
Number of Slots              :  35
Number of Monitors           :  7


 R   1 G   0      0        0.0
 R   1 G   1      0     88.261
 R   1 G   2      0    115.518
 R   1 G   3      0      177.8
 R   1 G   4      0    181.542
 R   1 G   5      0    249.244
 R   1 G   6      0    237.454
 R   1 G   7      0    387.944
 R   1 G   8      0    304.203
 R   1 G   9      0    382.081
 R   1 G  10      0    448.801
 R   1 G  11      0     495.41
 R   1 G  12      0    642.835
 R   1 G  13      0    606.618
 R   1 G  14      0     550.55
 R   1 G  15      0     578.03
 R   1 G  16      0    581.575
 R   1 G  17      0    619.739
 R   1 G  18      0    565.256
 R   1 G  19      0    598.442
 R   1 G  20      0    554.555
 R   1 G  21      0    589.395
 R   1 G  22      0    639.502
 R   1 G  23      0    665.286
 R   1 G  24      0    810.922
 R   1 G  25      0    762.724
 R   1 G  26      0      760.2
 R   1 G  27      0    798.716
 R   1 G  28      0    768.308
 R   1 G  29      0    761.641
 R   1 G  30      0    760.301
 R   1 G  31      0    780.176
 R   1 G  32      0    757.206
 R   1 G  33      0    758.714
 R   1 G  34      0    869.263
 R   1 G  35      0    728.914
 R   1 G  36      0    705.196
 R   1 G  37      0     760.05
 R   1 G  38      0    772.914
 R   1 G  39      0    701.242
 R   1 G  40      0    819.413
 R   1 G  41      0    813.383
 R   1 G  42      0    892.199
 R   1 G  43      0    916.372
 R   1 G  44      0     966.08
 R   1 G  45      0    811.425
 R   1 G  46      0    809.547
 R   1 G  47      0    950.395
 R   1 G  48      0    757.055
 R   1 G  49      0    775.522
 R   1 G  50      0    941.656
 R   1 G  51      0    919.368
 R   1 G  52      0    901.658
 R   1 G  53      0    892.774
 R   1 G  54      0    908.464
 R   1 G  55      0     963.88
 R   1 G  56      0    963.326
 R   1 G  57      0    892.036
 R   1 G  58      0    898.549
 R   1 G  59      0    964.586
 R   1 G  60      0   1019.141
 R   1 G  61      0   1020.754
 R   1 G  62      0   1035.423
 R   1 G  63      0   1061.339
 R   1 G  64      0   1082.801
 R   1 G  65      0    1110.63
 R   1 G  66      0   1157.183
 R   1 G  67      0   1048.864
 R   1 G  68      0   1147.194
 R   1 G  69      0   1117.216
 R   1 G  70      0   1044.726
 R   1 G  71      0     976.02
 R   1 G  72      0   1108.914
 R   1 G  73      0   1103.315
 R   1 G  74      0   1136.368
 R   1 G  75      0   1046.433
 R   1 G  76      0   1049.795
 R   1 G  77      0    978.201
 R   1 G  78      0   1070.337
 R   1 G  79      0    909.853
 R   1 G  80      0    965.771
 R   1 G  81      0    996.354
 R   1 G  82      0   1186.359
 R   1 G  83      0   1178.777
 R   1 G  84      0   1161.686
 R   1 G  85      0   1112.215
 R   1 G  86      0   1146.481
 R   1 G  87      0   1140.781
 R   1 G  88      0   1134.013
 R   1 G  89      0   1181.996
 R   1 G  90      0   1210.177
 R   1 G  91      0   1277.599
 R   1 G  92      0   1195.798
 R   1 G  93      0   1113.158
 R   1 G  94      0   1137.229
 R   1 G  95      0   1137.176
 R   1 G  96      0    1142.42
 R   1 G  97      0   1079.117
 R   1 G  98      0   1081.381
 R   1 G  99      0   1196.317
 R   1 G 100      0   1109.833
 R   1 G 101      0   1131.892
 R   1 G 102      0   1008.603
 R   1 G 103      0   1046.673
 R   1 G 104      0   1118.177
 R   1 G 105      0    973.823
 R   1 G 106      0    961.684
 R   1 G 107      0    907.899
 R   1 G 108      0   1069.488
 R   1 G 109      0     979.55
 R   1 G 110      0   1015.295
 R   1 G 111      0    984.637
 R   1 G 112      0   1010.712
 R   1 G 113      0    1060.12
 R   1 G 114      0   1015.413
 R   1 G 115      0   1026.459
 R   1 G 116      0    964.467
 R   1 G 117      0   1050.261
 R   1 G 118      0   1043.265
 R   1 G 119      0   1114.083
 R   1 G 120      0   1252.187
 R   1 G 121      0   1147.882
 R   1 G 122      0   1269.093
 R   1 G 123      0   1167.677
 R   1 G 124      0   1176.171
 R   1 G 125      0    1138.95
 R   1 G 126      0    1243.21
 R   1 G 127      0   1225.279
 R   1 G 128      0   1079.207
 R   1 G 129      0   1056.256
 R   1 G 130      0    1185.94
 R   1 G 131      0   1354.085
 R   1 G 132      0   1151.149
 R   1 G 133      0   1190.252
 R   1 G 134      0   1125.335
 R   1 G 135      0    1311.58
 R   1 G 136      0   1266.841
 R   1 G 137      0   1020.345
 R   1 G 138      0   1044.026
 R   1 G 139      0    1157.77
 R   1 G 140      0   1088.918
 R   1 G 141      0   1377.544
 R   1 G 142     70   1376.402
 R   1 G 143     70   1304.001
 R   1 G 144     70   1474.317
 R   1 G 145     70   1264.752
 R   1 G 146     70   1405.349
 R   1 G 147     70   1438.358
 R   1 G 148      0    1544.78
 R   1 G 149      0   1475.249
 R   1 G 150      0   1457.101
 R   1 G 151     70   1375.287
 R   1 G 152      0   1301.654
 R   1 G 153      0   1458.496
 R   1 G 154      0   1410.866
 R   1 G 155      0   1504.293
 R   1 G 156      0   1309.068
 R   1 G 157      0   1310.272
 R   1 G 158      0   1251.275
 R   1 G 159      0   1301.511
 R   1 G 160      0   1264.884
 R   1 G 161      0   1161.974
 R   1 G 162      0   1177.559
 R   1 G 163    460   1274.944
 R   1 G 164   1100    1465.02
 R   1 G 165    290   1423.588
 R   1 G 166      0   1402.614
 R   1 G 167      0   1401.427
 R   1 G 168      0    1374.11
 R   1 G 169      0   1221.933
 R   1 G 170      0    1230.97
 R   1 G 171      0   1241.311
 R   1 G 172    560   1258.535
 R   1 G 173      0   1090.964
 R   1 G 174      0   1074.426
 R   1 G 175      0   1152.528
 R   1 G 176      0   1076.661
 R   1 G 177      0   1055.763
 R   1 G 178      0   1159.043
 R   1 G 179      0   1003.714
 R   1 G 180      0   1137.331
 R   1 G 181     70    1304.58
 R   1 G 182      0   1177.216
 R   1 G 183      0   1092.675
 R   1 G 184      0   1220.529
 R   1 G 185      0   1098.263
 R   1 G 186      0   1264.726
 R   1 G 187      0   1278.748
 R   1 G 188    130   1281.303
 R   1 G 189      0   1314.235
 R   1 G 190      0   1449.398
 R   1 G 191    230   1437.121
 R   1 G 192    120   1425.876
 R   1 G 193      0   1276.305
 R   1 G 194      0   1237.934
 R   1 G 195      0   1355.739
 R   1 G 196      0   1363.587
 R   1 G 197     20   1368.198
 R   1 G 198      0   1462.807
 R   1 G 199      0   1533.529
1    164          *          D          A          *          A          *          D          *          *          *          *          *          *          F          *          *          *          *          *          *          *          *          E          B          D          *          *          *          F          *          *          *          *          *          *   RawFitness
                 -1          3          0         -1          0         -1          3         -1         -1         -1         -1         -1         -1          5         -1         -1         -1         -1         -1         -1         -1         -1          4          1          3         -1         -1         -1          5         -1         -1         -1         -1         -1         -1         1100

 R   2 G   0      0        0.0
 R   2 G   1      0        0.0
 R   2 G   2      0      30.46
 R   2 G   3      0    145.545
 R   2 G   4      0      97.88
 R   2 G   5      0    177.282
 R   2 G   6      0    199.747
 R   2 G   7      0    164.037
 R   2 G   8      0    202.913
 R   2 G   9      0    219.211
 R   2 G  10      0      272.6
 R   2 G  11      0    314.721
 R   2 G  12      0    373.788
 R   2 G  13      0    430.171
 R   2 G  14      0    462.148
 R   2 G  15      0    364.037
 R   2 G  16      0    283.622
 R   2 G  17      0    399.376
 R   2 G  18      0    412.551
 R   2 G  19      0    502.284
 R   2 G  20      0    560.108
 R   2 G  21      0    557.675
 R   2 G  22      0    524.405
 R   2 G  23      0     426.44
 R   2 G  24      0    395.052
 R   2 G  25      0    420.742
 R   2 G  26      0     529.48
 R   2 G  27      0    489.208
 R   2 G  28      0    469.837
 R   2 G  29      0    470.489
 R   2 G  30      0    544.543
 R   2 G  31      0    487.084
 R   2 G  32      0    424.351
 R   2 G  33      0    393.657
 R   2 G  34      0    476.301
 R   2 G  35      0    527.433
 R   2 G  36      0    496.821
 R   2 G  37      0    614.059
 R   2 G  38      0    588.016
 R   2 G  39      0     629.28
 R   2 G  40      0    734.202
 R   2 G  41      0    689.551
 R   2 G  42      0    821.769
 R   2 G  43      0    673.653
 R   2 G  44      0    692.354
 R   2 G  45      0    748.577
 R   2 G  46      0    751.505
 R   2 G  47      0    806.626
 R   2 G  48      0    729.997
 R   2 G  49      0    745.981
 R   2 G  50      0    752.584
 R   2 G  51      0    697.351
 R   2 G  52      0    801.176
 R   2 G  53      0    771.084
 R   2 G  54      0    840.536
 R   2 G  55      0    923.483
 R   2 G  56      0    928.516
 R   2 G  57      0    997.336
 R   2 G  58      0    995.238
 R   2 G  59      0   1033.566
 R   2 G  60      0   1192.297
 R   2 G  61      0   1051.879
 R   2 G  62      0    1007.67
 R   2 G  63      0   1128.532
 R   2 G  64      0   1138.127
 R   2 G  65      0   1054.283
 R   2 G  66      0    945.401
 R   2 G  67      0   1025.266
 R   2 G  68      0   1028.098
 R   2 G  69      0   1136.101
 R   2 G  70      0    964.576
