Experiment ID                :  scheduler-timeslots
Problem Type                 :  SCHED
Representation               :  timeslots
Data Input File Name         :  testdata1
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  2
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75800
Number of Genes/Points       :  35
Size of Genes                :  1
Number of Slots              :  35
Number of Monitors           :  7


 R   1 G   0   1850   2850.631
 R   1 G   1   1850   2832.401
 R   1 G   2   3000   2892.663
 R   1 G   3   1200   2616.272
 R   1 G   4   1200   2717.248
 R   1 G   5   1400   2325.768
 R   1 G   6    400   2414.696
 R   1 G   7   1050   2378.154
 R   1 G   8   1950   2653.723
 R   1 G   9   4100   2846.674
 R   1 G  10    400   2803.002
 R   1 G  11    400   2308.303
 R   1 G  12    400   2545.573
 R   1 G  13    400   2381.721
 R   1 G  14   2950   2481.315
 R   1 G  15    800   2780.559
 R   1 G  16    900   2674.371
 R   1 G  17    900   2310.175
 R   1 G  18   2650   2350.056
 R   1 G  19   2200   2713.007
 R   1 G  20    900   2563.216
 R   1 G  21   1000   2324.202
 R   1 G  22     50     2259.6
 R   1 G  23   1150   2479.204
 R   1 G  24   1550   2384.137
 R   1 G  25    250   2403.184
 R   1 G  26    400   2532.697
 R   1 G  27    500   2621.524
 R   1 G  28   1050   2598.992
 R   1 G  29    700   2701.561
 R   1 G  30    700   2378.669
 R   1 G  31      0   2313.803
 R   1 G  32   1150   2143.195
 R   1 G  33    250   2282.292
 R   1 G  34    450   2379.433
 R   1 G  35    700   2614.203
 R   1 G  36    600   2595.946
 R   1 G  37    850   2569.803
 R   1 G  38   2400    2802.08
 R   1 G  39   3850   2817.862
 R   1 G  40   3050   3035.965
 R   1 G  41    850   2468.508
 R   1 G  42   1400   2608.127
 R   1 G  43   1400   2538.395
 R   1 G  44   1400   2642.992
 R   1 G  45   1400   2793.903
 R   1 G  46   2400   3034.579
 R   1 G  47   2250   2880.375
 R   1 G  48   2550   3034.246
 R   1 G  49   2900   3321.791
 R   1 G  50   2250   3227.317
 R   1 G  51   2250   2908.359
 R   1 G  52   2250    2931.91
 R   1 G  53   3200   2994.545
 R   1 G  54   2700   3120.333
 R   1 G  55   3250   3274.354
 R   1 G  56   3900   3299.838
 R   1 G  57   3750   3518.705
 R   1 G  58   4400   3249.743
 R   1 G  59   4400   3045.565
 R   1 G  60   5200   3110.814
 R   1 G  61   6250   3112.641
 R   1 G  62   6350    3393.95
 R   1 G  63   4400   2893.918
 R   1 G  64   4400     2849.3
 R   1 G  65   4400   2690.744
 R   1 G  66   4400   2966.346
 R   1 G  67   3600   2855.581
 R   1 G  68   3300   2870.662
 R   1 G  69   3700    3026.12
 R   1 G  70   4850   3133.199
 R   1 G  71   3600   3028.992
 R   1 G  72   3300   3042.381
 R   1 G  73   5200   2685.818
 R   1 G  74   5550   2670.475
 R   1 G  75   5200   2737.099
 R   1 G  76   5200   2992.466
 R   1 G  77   6250   3350.997
 R   1 G  78   5200   2596.011
 R   1 G  79   6350   2593.049
 R   1 G  80   5200   2344.878
 R   1 G  81   5200   2396.999
 R   1 G  82   5200   2421.964
 R   1 G  83   5200   2489.243
 R   1 G  84    600   2110.875
 R   1 G  85   1000   2224.056
 R   1 G  86   3300   2266.098
 R   1 G  87   2200   2236.761
 R   1 G  88   2200   2251.478
 R   1 G  89   2200   2242.906
 R   1 G  90    900   2155.865
 R   1 G  91   1500   2421.109
 R   1 G  92   1300   2421.766
 R   1 G  93   3650   2598.285
 R   1 G  94   3600   2558.026
 R   1 G  95   3100   2867.281
 R   1 G  96   4250    2869.96
 R   1 G  97   3700   2694.244
 R   1 G  98   3700   2751.267
 R   1 G  99   3700   2958.026
 R   1 G 100   3700   2962.542
 R   1 G 101   3700   2906.847
 R   1 G 102   4000   3189.329
 R   1 G 103   5750   3437.776
 R   1 G 104   5750   3484.739
 R   1 G 105   5750   3749.173
 R   1 G 106   5750   3853.349
 R   1 G 107   5750   3777.331
 R   1 G 108   5750   3395.548
 R   1 G 109   5750   3435.976
 R   1 G 110   4600   3078.875
 R   1 G 111   5500   3253.097
 R   1 G 112   5500   3223.795
 R   1 G 113   3100   2981.824
 R   1 G 114   3100   2958.854
 R   1 G 115   4600   2833.629
 R   1 G 116   3700   2719.258
 R   1 G 117   3700   2708.258
 R   1 G 118   4050   2712.073
 R   1 G 119   3000   2463.707
 R   1 G 120   4500   2566.489
 R   1 G 121   3000    2753.78
 R   1 G 122   4200   2658.772
 R   1 G 123   3350   2512.203
 R   1 G 124   2700   2575.858
 R   1 G 125   3950   2576.752
 R   1 G 126   3950   2605.744
 R   1 G 127   3650   2493.507
 R   1 G 128   4200   2616.137
 R   1 G 129   6250   2944.112
 R   1 G 130   4200   2387.153
 R   1 G 131   4200   2395.898
 R   1 G 132   4200   2527.198
 R   1 G 133   4100   2527.409
 R   1 G 134   3200   2828.082
 R   1 G 135   3200   2637.169
 R   1 G 136   2950   2640.884
 R   1 G 137   4800   2856.357
 R   1 G 138   4950   2848.126
 R   1 G 139   4950   2726.556
 R   1 G 140   2750   2580.667
 R   1 G 141   2350   2675.161
 R   1 G 142   4250    2725.46
 R   1 G 143   2950    2793.59
 R   1 G 144   2300   2872.391
 R   1 G 145   2700   2676.767
 R   1 G 146   4600   2736.159
 R   1 G 147   4600    3170.58
 R   1 G 148   4600   3108.665
 R   1 G 149   4600   2837.834
 R   1 G 150   4600   2810.736
 R   1 G 151   4600    2908.26
 R   1 G 152   4600   2949.324
 R   1 G 153   3700   2565.981
 R   1 G 154   3700   2656.928
 R   1 G 155   3850   2916.969
 R   1 G 156   3700   2856.132
 R   1 G 157   3700   2897.157
 R   1 G 158   3700   2727.835
 R   1 G 159   3700   2273.047
 R   1 G 160   2000   2490.023
 R   1 G 161   2050   2382.441
 R   1 G 162   2650   2572.525
 R   1 G 163   2650   2619.258
 R   1 G 164   2750   2808.592
 R   1 G 165   3500   2568.356
 R   1 G 166   2550   2589.347
 R   1 G 167   1550   2261.656
 R   1 G 168   3350   2314.846
 R   1 G 169   3350   2533.956
 R   1 G 170   4350   2539.435
 R   1 G 171   4350    2552.18
 R   1 G 172   2250   2176.459
 R   1 G 173   2250    2356.95
 R   1 G 174   2100   2312.312
 R   1 G 175   3200   2419.546
 R   1 G 176   3200   2551.406
 R   1 G 177   5550   2711.828
 R   1 G 178   5750   2958.184
 R   1 G 179   4850   2597.131
 R   1 G 180   4850   2656.532
 R   1 G 181   4950   2696.668
 R   1 G 182   4950    2673.74
 R   1 G 183   4950   2755.475
 R   1 G 184   6000    2546.23
 R   1 G 185   6000    2515.16
 R   1 G 186   6000   2579.914
 R   1 G 187   3750   2310.334
 R   1 G 188   3250   2502.395
 R   1 G 189   3050   2430.327
 R   1 G 190   3800    2354.58
 R   1 G 191   3150   2237.585
 R   1 G 192   4350   2169.268
 R   1 G 193   3600   2414.544
 R   1 G 194   3300   2251.276
 R   1 G 195   2500   2283.649
 R   1 G 196   3650   2110.745
 R   1 G 197   3600   2008.145
 R   1 G 198   3100    2083.42
 R   1 G 199   2450   2218.323
1     62          9         25         33          5         12          1         18         33         27         18         32         31         30         24         19          6         25          8         30         20         29          9          2         17          1         34         34         26         14         10         22         20         12         15         25   RawFitness
                  9         25         33          5         12          1         18         33         27         18         32         31         30         24         19          6         25          8         30         20         29          9          2         17          1         34         34         26         14         10         22         20         12         15         25         6350

 R   2 G   0   2950   3026.722
 R   2 G   1   2950   3026.722
 R   2 G   2   1200    2701.56
 R   2 G   3   1200   2724.076
 R   2 G   4   1200   2859.446
 R   2 G   5   1200   3016.737
 R   2 G   6      0   2929.934
 R   2 G   7    400   2997.827
 R   2 G   8   1850   2957.395
 R   2 G   9   1500   3074.807
 R   2 G  10   1750   3220.271
 R   2 G  11   1600   3150.996
 R   2 G  12   2850   3264.061
 R   2 G  13   3850   3327.376
 R   2 G  14   1800   2934.588
 R   2 
